1.0.0	ACT I
3.3.422	God be wi' you; take mine office. O wretched fool, 
3.3.423	That livest to make thine honesty a vice! 
3.3.424	O monstrous world! Take note, take note, O world, 
3.3.425	To be direct and honest is not safe. 
3.3.426	I thank you for this profit; and from hence 
3.3.427	I'll love no friend, sith love breeds such offence. 
3.3.428	Nay, stay: thou shouldst be honest. 
3.3.429	I should be wise, for honesty's a fool 
3.3.430	And loses that it works for. 
3.3.431	By the world, 
3.3.432	I think my wife be honest and think she is not; 
3.3.433	I think that thou art just and think thou art not. 
3.3.434	I'll have some proof. Her name, that was as fresh 
3.3.435	As Dian's visage, is now begrimed and black 
3.3.436	As mine own face. If there be cords, or knives, 
3.3.437	Poison, or fire, or suffocating streams, 
3.3.438	I'll not endure it. Would I were satisfied! 
3.3.439	I see, sir, you are eaten up with passion: 
3.3.440	I do repent me that I put it to you. 
3.3.441	You would be satisfied? 
3.3.442	Would! nay, I will. 
3.3.443	And may: but, how? how satisfied, my lord? 
3.3.444	Would you, the supervisor, grossly gape on- 
3.3.445	Behold her topp'd? 
3.3.446	Death and damnation! O! 
3.3.447	It were a tedious difficulty, I think, 
3.3.448	To bring them to that prospect: damn them then, 
3.3.449	If ever mortal eyes do see them bolster 
3.3.450	More than their own! What then? how then? 
3.3.451	What shall I say? Where's satisfaction? 
3.3.452	It is impossible you should see this, 
3.3.453	Were they as prime as goats, as hot as monkeys, 
3.3.454	As salt as wolves in pride, and fools as gross 
3.3.455	As ignorance made drunk. But yet, I say, 
3.3.456	If imputation and strong circumstances, 
3.3.457	Which lead directly to the door of truth, 
3.3.458	Will give you satisfaction, you may have't. 
3.3.459	Give me a living reason she's disloyal. 
3.3.460	I do not like the office: 
3.3.461	But, sith, I am enter'd in this cause so far, 
3.3.462	Prick'd to't by foolish honesty and love, 
3.3.463	I will go on. I lay with Cassio lately; 
3.3.464	And, being troubled with a raging tooth, 
3.3.465	I could not sleep. 
3.3.466	There are a kind of men so loose of soul, 
3.3.467	That in their sleeps will mutter their affairs: 
3.3.468	One of this kind is Cassio: 
3.3.469	In sleep I heard him say 'Sweet Desdemona, 
3.3.470	Let us be wary, let us hide our loves;' 
3.3.471	And then, sir, would he gripe and wring my hand, 
3.3.472	Cry 'O sweet creature!' and then kiss me hard, 
3.3.473	As if he pluck'd up kisses by the roots 
3.3.474	That grew upon my lips; then laid his leg 
3.3.475	Over my thigh, and sigh'd, and kiss'd; and then 
3.3.476	Cried 'Cursed fate that gave thee to the Moor!' 
3.3.477	O monstrous! monstrous! 
3.3.478	Nay, this was but his dream. 
3.3.479	But this denoted a foregone conclusion: 
3.3.480	'Tis a shrewd doubt, though it be but a dream. 
3.3.481	And this may help to thicken other proofs 
3.3.482	That do demonstrate thinly. 
3.3.483	I'll tear her all to pieces. 
3.3.484	Nay, but be wise: yet we see nothing done; 
3.3.485	She may be honest yet. Tell me but this, 
3.3.486	Have you not sometimes seen a handkerchief 
3.3.487	Spotted with strawberries in your wife's hand? 
3.3.488	I gave her such a one; 'twas my first gift. 
3.3.489	I know not that: but such a handkerchief-- 
3.3.490	I am sure it was your wife's--did I to-day 
3.3.491	See Cassio wipe his beard with. 
3.3.492	If it be that,-- 
3.3.493	If it be that, or any that was hers, 
3.3.494	It speaks against her with the other proofs. 
3.3.495	O, that the slave had forty thousand lives! 
3.3.496	One is too poor, too weak for my revenge. 
3.3.497	Now do I see 'tis true. Look here, Iago; 
3.3.498	All my fond love thus do I blow to heaven. 
3.3.499	'Tis gone. 
3.3.500	Arise, black vengeance, from thy hollow cell 
3.3.501	Yield up, O love, thy crown and hearted throne 
3.3.502	To tyrannous hate! Swell, bosom, with thy fraught, 
3.3.503	For 'tis of aspics' tongues! 
3.3.504	Yet be content. 
3.3.505	O, blood, blood, blood! 
3.3.506	Patience, I say, your mind perhaps may change. 
3.3.507	Never, Iago. Like to the Pontic sea, 
3.3.508	Whose icy current and compulsive course 
3.3.509	Ne'er feels retiring ebb, but keeps due on 
3.3.510	To the Propontic and the Hellespont, 
3.3.511	Even so my bloody thoughts, with violent pace, 
3.3.512	Shall ne'er look back, ne'er ebb to humble love, 
3.3.513	Till that a capable and wide revenge 
3.3.514	Swallow them up. Now, by yond marble heaven, Kneels 
3.3.515	In the due reverence of a sacred vow 
3.3.516	I here engage my words. 
3.3.517	Do not rise yet. Kneels 
3.3.518	Witness, you ever-burning lights above, 
3.3.519	You elements that clip us round about, 
3.3.520	Witness that here Iago doth give up 
3.3.521	The execution of his wit, hands, heart, 
3.3.522	To wrong'd Othello's service! Let him command, 
3.3.523	And to obey shall be in me remorse, 
3.3.524	What bloody business ever. They rise. 
3.3.525	I greet thy love, 
3.3.526	Not with vain thanks, but with acceptance bounteous, 
3.3.527	And will upon the instant put thee to 't: 
3.3.528	Within these three days let me hear thee say 
3.3.529	That Cassio's not alive. 
3.3.530	My friend is dead; 'tis done at your request: 
3.3.531	But let her live. 
3.3.532	Damn her, lewd minx! O, damn her! 
3.3.533	Come, go with me apart; I will withdraw, 
3.3.534	To furnish me with some swift means of death 
3.3.535	For the fair devil. Now art thou my lieutenant. 
3.3.536	I am your own for ever. Exeunt.
3.4.1	Before the castle. 
3.4.2	Enter DESDEMONA, EMILIA, and Clown.
3.4.3	Do you know, sirrah, where Lieutenant Cassio lies? 
3.4.4	I dare not say he lies any where. 
3.4.5	Why, man? 
3.4.6	He's a soldier, and for one to say a soldier lies, is stabbing. 
3.4.7	Go to: where lodges he? 
3.4.8	To tell you where he lodges, is to tell you where I lie. 
3.4.9	Can any thing be made of this? 
3.4.10	I know not where he lodges, and for me to devise a lodging and say he lies here or he lies there, were to lie in mine own throat. 
3.4.11	Can you inquire him out, and be edified by report? 
3.4.12	I will catechize the world for him; that is, make questions, and by them answer. 
3.4.13	Seek him, bid him come hither: tell him I have moved my lord on his behalf, and hope all will be well. 
3.4.14	To do this is within the compass of man's wit; and therefore I will attempt the doing it. Exit. 
3.4.15	Where should I lose that handkerchief, Emilia? 
3.4.16	I know not, madam. 
3.4.17	Believe me, I had rather have lost my purse 
3.4.18	Full of crusadoes: and, but my noble Moor 
3.4.19	Is true of mind and made of no such baseness 
3.4.20	As jealous creatures are, it were enough 
3.4.21	To put him to ill thinking. 
3.4.22	Is he not jealous? 
3.4.23	Who, he? I think the sun where he was born 
3.4.24	Drew all such humours from him. 
3.4.25	Look, where he comes. 
3.4.26	I will not leave him now till Cassio 
3.4.27	Be call'd to him. Enter OTHELLO. 
3.4.28	How is't with you, my lord? 
3.4.29	Well, my good lady. Aside 
3.4.30	O, hardness to dissemble!-- 
3.4.31	How do you, Desdemona? 
3.4.32	Well, my good lord. 
3.4.33	Give me your hand: this hand is moist, my lady. 
3.4.34	It yet hath felt no age nor known no sorrow. 
3.4.35	This argues fruitfulness and liberal heart: 
3.4.36	Hot, hot, and moist: this hand of yours requires 
3.4.37	A sequester from liberty, fasting and prayer, 
3.4.38	Much castigation, exercise devout; 
3.4.39	For here's a young and sweating devil here, 
3.4.40	That commonly rebels. 'Tis a good hand, 
3.4.41	A frank one. 
3.4.42	You may, indeed, say so; 
3.4.43	For 'twas that hand that gave away my heart. 
3.4.44	A liberal hand: the hearts of old gave hands; 
3.4.45	But our new heraldry is hands, not hearts. 
3.4.46	I cannot speak of this. Come now, your promise. 
3.4.47	What promise, chuck? 
3.4.48	I have sent to bid Cassio come speak with you. 
3.4.49	I have a salt and sorry rheum offends me; 
3.4.50	Lend me thy handkerchief. 
3.4.51	Here, my lord. 
3.4.52	That which I gave you. 
3.4.53	I have it not about me. 
3.4.54	Not? 
3.4.55	No, indeed, my lord. 
3.4.56	That is a fault. 
3.4.57	That handkerchief 
3.4.58	Did an Egyptian to my mother give; 
3.4.59	She was a charmer, and could almost read 
3.4.60	The thoughts of people: she told her, while she kept it, 
3.4.61	'Twould make her amiable and subdue my father 
3.4.62	Entirely to her love, but if she lost it 
3.4.63	Or made a gift of it, my father's eye 
3.4.64	Should hold her loathed and his spirits should hunt 
3.4.65	After new fancies: she, dying, gave it me; 
3.4.66	And bid me, when my fate would have me wive, 
3.4.67	To give it her. I did so: and take heed on 't; 
3.4.68	Make it a darling like your precious eye; 
3.4.69	To lose't or give't away were such perdition 
3.4.70	As nothing else could match. 
3.4.71	Is't possible? 
3.4.72	'Tis true: there's magic in the web of it: 
3.4.73	A sibyl, that had number'd in the world 
3.4.74	The sun to course two hundred compasses, 
3.4.75	In her prophetic fury sew'd the work; 
3.4.76	The worms were hallow'd that did breed the silk; 
3.4.77	And it was dyed in mummy which the skilful 
3.4.78	Conserved of maidens' hearts. 
3.4.79	Indeed! is't true? 
3.4.80	Most veritable; therefore look to 't well. 
3.4.81	Then would to God that I had never seen 't! 
3.4.82	Ha! wherefore? 
3.4.83	Why do you speak so startingly and rash? 
3.4.84	Is't lost? is't gone? speak, is it out o' the way? 
3.4.85	Heaven bless us! 
3.4.86	Say you? 
3.4.87	It is not lost; but what an if it were? 
3.4.88	How! 
3.4.89	I say, it is not lost. 
3.4.90	Fetch 't, let me see 't. 
3.4.91	Why, so I can, sir, but I will not now. 
3.4.92	This is a trick to put me from my suit: 
3.4.93	Pray you, let Cassio be received again. 
3.4.94	Fetch me the handkerchief: my mind misgives. 
3.4.95	Come, come; 
3.4.96	You'll never meet a more sufficient man. 
3.4.97	The handkerchief!
3.4.98	I pray, talk me of Cassio. 
3.4.99	The handkerchief! 
3.4.100	A man that all his time 
3.4.101	Hath founded his good fortunes on your love, 
3.4.102	Shared dangers with you,-- 
3.4.103	The handkerchief! 
3.4.104	In sooth, you are to blame. 
3.4.105	Away! Exit. 
3.4.106	Is not this man jealous? 
3.4.107	I ne'er saw this before. 
3.4.108	Sure, there's some wonder in this handkerchief: 
3.4.109	I am most unhappy in the loss of it. 
3.4.110	'Tis not a year or two shows us a man: 
3.4.111	They are all but stomachs, and we all but food; 
3.4.112	They eat us hungerly, and when they are full, 
3.4.113	They belch us. Look you, Cassio and my husband! Enter CAsslo and IAGO. 
3.4.114	There is no other way; 'tis she must do't: 
3.4.115	And, lo, the happiness I go, and importune her. 
3.4.116	How now, good Cassio! what's the news with you? 
3.4.117	Madam, my former suit: I do beseech you 
3.4.118	That by your virtuous means I may again 
3.4.119	Exist, and be a member of his love 
3.4.120	Whom I with all the office of my heart 
3.4.121	Entirely honour: I would not be delay'd. 
3.4.122	If my offence be of such mortal kind 
3.4.123	That nor my service past, nor present sorrows, 
3.4.124	Nor purposed merit in futurity, 
3.4.125	Can ransom me into his love again, 
3.4.126	But to know so must be my benefit; 
3.4.127	So shall I clothe me in a forced content, 
3.4.128	And shut myself up in some other course, 
3.4.129	To fortune's alms. 
3.4.130	Alas, thrice-gentle Cassio! 
3.4.131	My advocation is not now in tune; 
3.4.132	My lord is not my lord; nor should I know him, 
3.4.133	Were he in favour as in humour alter'd. 
3.4.134	So help me every spirit sanctified, 
3.4.135	As I have spoken for you all my best 
3.4.136	And stood within the blank of his displeasure 
3.4.137	For my free speech! you must awhile be patient: 
3.4.138	What I can do I will; and more I will 
3.4.139	Than for myself I dare: let that suffice you. 
3.4.140	Is my lord angry? 
3.4.141	He went hence but now, 
3.4.142	And certainly in strange unquietness. 
3.4.143	Can he be angry? I have seen the cannon, 
3.4.144	When it hath blown his ranks into the air, 
3.4.145	And, like the devil, from his very arm 
3.4.146	Puff'd his own brother:--and can he be angry? 
3.4.147	Something of moment then: I will go meet him: 
3.4.148	There's matter in't indeed, if he be angry. 
3.4.149	I prithee, do so. Exit Iago.
3.4.150	Something, sure, of state, 
3.4.151	Either from Venice, or some unhatch'd practice 
3.4.152	Made demonstrable here in Cyprus to him, 
3.4.153	Hath puddled his clear spirit; and in such cases 
3.4.154	Men's natures wrangle with inferior things, 
3.4.155	Though great ones are their object. 'Tis even so; 
3.4.156	For let our finger ache, and it indues 
3.4.157	Our other healthful members even to that sense 
3.4.158	Of pain: nay, we must think men are not gods, 
3.4.159	Nor of them look for such observances 
3.4.160	As fit the bridal. Beshrew me much. Emilia, 
3.4.161	I was, unhandsome warrior as I am, 
3.4.162	Arraigning his unkindness with my soul; 
3.4.163	But now I find I had suborn'd the witness, 
3.4.164	And he's indicted falsely. 
3.4.165	Pray heaven it be state-matters, as you think, 
3.4.166	And no conception nor no jealous toy 
3.4.167	Concerning you. 
3.4.168	Alas the day! I never gave him cause. 
3.4.169	But jealous souls will not be answer'd so; 
3.4.170	They are not ever jealous for the cause, 
3.4.171	But jealous for they are jealous: 'tis a monster 
3.4.172	Begot upon itself, born on itself. 
3.4.173	Heaven keep that monster from Othello's mind! 
3.4.174	Lady, amen. 
3.4.175	I will go seek him. Cassio, walk here about: 
3.4.176	If I do find him fit, I'll move your suit 
3.4.177	And seek to effect it to my uttermost. 
3.4.178	I humbly thank your ladyship. Exeunt Desdemona and Emilia. Enter BIANCA. 
3.4.179	Save you, friend Cassio! 
3.4.180	What make you from home? 
3.4.181	How is it with you, my most fair Bianca? 
3.4.182	I' faith, sweet love, I was coming to your house. 
3.4.183	And I was going to your lodging, Cassio. 
3.4.184	What, keep a week away? seven days and nights? 
3.4.185	Eight score eight hours? and lovers' absent hours, 
3.4.186	More tedious than the dial eight score times? 
3.4.187	O weary reckoning! 
3.4.188	Pardon me, Bianca: 
3.4.189	I have this while with leaden thoughts been press'd; 
3.4.190	But I shall, in a more continuate time, 
3.4.191	Strike off this score of absence. Sweet Bianca, Giving her Desdemona's handkerchief. 
3.4.192	Take me this work out. 
3.4.193	O Cassio, whence came this? 
3.4.194	This is some token from a newer friend: 
3.4.195	To the felt absence now I feel a cause: 
3.4.196	Is't come to this? Well, well. 
3.4.197	Go to, woman! 
3.4.198	Throw your vile guesses in the devil's teeth, 
3.4.199	From whence you have them. You are jealous now 
3.4.200	That this is from some mistress, some remembrance: 
3.4.201	No, in good troth, Bianca. 
3.4.202	Why, whose is it? 
3.4.203	I know not, sweet: I found it in my chamber. 
3.4.204	I like the work well: ere it be demanded-- 
3.4.205	As like enough it will--I'ld have it copied: 
3.4.206	Take it, and do 't; and leave me for this time. 
3.4.207	Leave you! wherefore? 
3.4.208	I do attend here on the general; 
3.4.209	And think it no addition, nor my wish, 
3.4.210	To have him see me woman'd. 
3.4.211	Why, I pray you? 
3.4.212	Not that I love you not. 
3.4.213	But that you do not love me. 
3.4.214	I pray you, bring me on the way a little, 
3.4.215	And say if I shall see you soon at night. 
3.4.216	'Tis but a little way that I can bring you; 
3.4.217	For I attend here: but I'll see you soon. 
3.4.218	'Tis very good; I must be circumstanced. Exeunt. 
4.0.0	ACT IV
4.1.1	Cyprus. Before the castle. 
4.1.2	Enter OTHELLO and IAGO.
4.1.3	Will you think so? 
4.1.4	Think so, Iago! 
4.1.5	What, 
4.1.6	To kiss in private? 
4.1.7	An unauthorized kiss. 
4.1.8	Or to be naked with her friend in bed 
4.1.9	An hour or more, not meaning any harm? 
4.1.10	Naked in bed, Iago, and not mean harm! 
4.1.11	It is hypocrisy against the devil: 
4.1.12	They that mean virtuously, and yet do so, 
4.1.13	The devil their virtue tempts, and they tempt heaven. 
4.1.14	So they do nothing, 'tis a venial slip: 
4.1.15	But if I give my wife a handkerchief,-- 
4.1.16	What then? 
4.1.17	Why, then, 'tis hers, my lord; and, being hers, 
4.1.18	She may, I think, bestow't on any man. 
4.1.19	She is protectress of her honour too: 
4.1.20	May she give that? 
4.1.21	Her honour is an essence that's not seen; 
4.1.22	They have it very oft that have it not: 
4.1.23	But, for the handkerchief,-- 
4.1.24	By heaven, I would most gladly have forgot it. 
4.1.25	Thou said'st--O, it comes o'er my memory, 
4.1.26	As doth the raven o'er the infected house, 
4.1.27	Boding to all--he had my handkerchief. 
4.1.28	Ay, what of that? 
4.1.29	That's not so good now. 
4.1.30	What, 
4.1.31	If I had said I had seen him do you wrong? 
4.1.32	Or heard him say,--as knaves be such abroad, 
4.1.33	Who having, by their own importunate suit, 
4.1.34	Or voluntary dotage of some mistress, 
4.1.35	Convinced or supplied them, cannot choose 
4.1.36	But they must blab-- 
4.1.37	Hath he said any thing? 
4.1.38	He hath, my lord; but be you well assured, 
4.1.39	No more than he'll unswear. 
4.1.40	What hath he said? 
4.1.41	'Faith, that he did--I know not what he did. 
4.1.42	What? what? 
4.1.43	Lie-- 
4.1.44	With her? 
4.1.45	With her, on her; what you will. 
4.1.46	Lie with her! lie on her! We say lie on her, when they belie her. Lie with her! that's fulsome.--Handkerchief--confessions-- handkerchief!--To confess, and be hanged for his labour;--first, to be hanged, and then to confess.--I tremble at it. Nature would not invest herself in such shadowing passion with- out some instruction. It is not words that shake me thus. Pish! Noses, ears, and lips.-- Is't possible?--Confess--handkerchief!--O devil! Falls in a trance. 
4.1.47	Work on, 
4.1.48	My medicine, work! Thus credulous fools are caught; 
4.1.49	And many worthy and chaste dames even thus, 
4.1.50	All guiltless, meet reproach. What, ho! my lord! 
4.1.51	My lord, I say! Othello! Enter CASSIO. 
4.1.52	How now, Cassio! 
4.1.53	What's the matter? 
4.1.54	My lord is fall'n into an epilepsy: 
4.1.55	This is his second fit; he had one yesterday. 
4.1.56	Rub him about the temples.
4.1.57	No, forbear; 
4.1.58	The lethargy must have his quiet course: 
4.1.59	If not, he foams at mouth and by and by 
4.1.60	Breaks out to savage madness. Look, he stirs: 
4.1.61	Do you withdraw yourself a little while, 
4.1.62	He will recover straight: when he is gone, 
4.1.63	I would on great occasion speak with you. Exit Cassio, 
4.1.64	How is it, general? have you not hurt your head? 
4.1.65	Dost thou mock me? 
4.1.66	I mock you! no, by heaven. 
4.1.67	Would you would bear your fortune like a man! 
4.1.68	A horned man's a monster and a beast. 
4.1.69	There's many a beast then in a populous city, 
4.1.70	And many a civil monster. 
4.1.71	Did he confess it? 
4.1.72	Good sir, be a man; 
4.1.73	Think every bearded fellow that's but yoked 
4.1.74	May draw with you: there's millions now alive 
4.1.75	That nightly lie in those unproper beds 
4.1.76	Which they dare swear peculiar: your case is better. 
4.1.77	O, 'tis the spite of hell, the fiend's arch-mock, 
4.1.78	To lip a wanton in a secure couch, 
4.1.79	And to suppose her chaste! No, let me know; 
4.1.80	And knowing what I am, I know what she shall be. 
4.1.81	O, thou art wise; 'tis certain. 
4.1.82	Stand you awhile apart; 
4.1.83	Confine yourself but in a patient list. 
4.1.84	Whilst you were here o'erwhelmed with your grief-- 
4.1.85	A passion most unsuiting such a man-- 
4.1.86	Cassio came hither: I shifted him away, 
4.1.87	And laid good 'scuse upon your ecstasy, 
4.1.88	Bade him anon return and here speak with me; 
4.1.89	The which he promised. Do but encave yourself, 
4.1.90	And mark the fleers, the gibes, and notable scorns, 
4.1.91	That dwell in every region of his face; 
4.1.92	For I will make him tell the tale anew, 
4.1.93	Where, how, how oft, how long ago, and when 
4.1.94	He hath, and is again to cope your wife: 
4.1.95	I say, but mark his gesture. Marry, patience; 
4.1.96	Or I shall say you are all in all in spleen, 
4.1.97	And nothing of a man. 
4.1.98	Dost thou hear, Iago? 
4.1.99	I will be found most cunning in my patience; 
4.1.100	But--dost thou hear?--most bloody. 
4.1.101	That's not amiss; 
4.1.102	But yet keep time in all. Will you withdraw? Othello retires. 
4.1.103	Now will I question Cassio of Bianca, 
4.1.104	A housewife that by selling her desires 
4.1.105	Buys herself bread and clothes: it is a creature 
4.1.106	That dotes on Cassio; as 'tis the strumpet's plague 
4.1.107	To beguile many and be beguiled by one: 
4.1.108	He, when he hears of her, cannot refrain 
4.1.109	>From the excess of laughter. Here he comes: Re-enter CASSIO. 
4.1.110	As he shall smile, Othello shall go mad; 
4.1.111	And his unbookish jealousy must construe 
4.1.112	Poor Cassio's smiles, gestures and light behaviour, 
4.1.113	Quite in the wrong. How do you now, lieutenant? 
4.1.114	The worser that you give me the addition 
4.1.115	Whose want even kills me. 
4.1.116	Ply Desdemona well, and you are sure on't. Speaking lower 
4.1.117	Now, if this suit lay in Bianca's power, 
4.1.118	How quickly should you speed! 
4.1.119	Alas, poor caitiff! 
4.1.120	Look, how he laughs already! 
4.1.121	I never knew woman love man so. 
4.1.122	Alas, poor rogue! I think, i' faith, she loves me. 
4.1.123	Now he denies it faintly, and laughs it out. 
4.1.124	Do you hear, Cassio? 
4.1.125	Now he importunes him 
4.1.126	To tell it o'er: go to; well said, well said. 
4.1.127	She gives it out that you shall marry her: 
4.1.128	Do you intend it? 
4.1.129	Ha, ha, ha! 
4.1.130	Do you triumph, Roman? do you triumph? 
4.1.131	I marry her! what? a customer! Prithee, bear some charity to my wit; do not think it so unwholesome. Ha, ha, ha! 
4.1.132	So, so, so, so: they laugh that win. 
4.1.133	'Faith, the cry goes that you shall marry her. 
4.1.134	Prithee, say true. 
4.1.135	I am a very villain else. 
4.1.136	Have you scored me? Well. 
4.1.137	This is the monkey's own giving out: she is persuaded I will marry her, out of her own love and flattery, not out of my promise. 
4.1.138	Iago beckons me; now he begins the story. 
4.1.139	She was here even now; she haunts me in every place. I was the other day talking on the sea-bank with certain Venetians; and thither comes the bauble, and, by this hand, she falls me thus about my neck-- 
4.1.140	Crying 'O dear Cassio!' as it were: his gesture imports it. 
4.1.141	So hangs, and lolls, and weeps upon me; so hales, and pulls me: ha, ha, ha! 
4.1.142	Now he tells how she plucked him to my chamber. O, I see that nose of yours. but not that dog I shall throw it to. 
4.1.143	Well, I must leave her company. 
4.1.144	Before me! look, where she comes. 
4.1.145	'Tis such another fitchew! marry, a perfumed one. Enter BIANCA. 
4.1.146	What do you mean by this haunting of me? 
4.1.147	Let the devil and his dam haunt you! What did you mean by that same handkerchief you gave me even now? I was a fine fool to take it. I must take out the work?-- A likely piece of work, that you should find it in your chamber, and not know who left it there? This is some minx's token, and I must take out the work? There; give it your hobby-horse: wheresoever you had it, I'll take out no work on 't. 
4.1.148	How now, my sweet Bianca! how now! how now! 
4.1.149	By heaven, that should be my handkerchief! 
4.1.150	An you'll come to supper to-night, you may; an you will not, come when you are next prepared for. Exit. 
4.1.151	After her, after her. 
4.1.152	'Faith, I must; she'll rail in the street else. 
4.1.153	Will you sup there? 
4.1.154	'Faith, I intend so. 
4.1.155	Well, I may chance to see you; for 
4.1.156	I would very fain speak with you. 
4.1.157	Prithee, come; will you? 
4.1.158	Go to; say no more. Exit Cassio.
4.1.159	Advancing
4.1.160	How shall I murder him, Iago? 
4.1.161	Did you perceive how he laughed at his vice? 
4.1.162	O Iago! 
4.1.163	And did you see the handkerchief? 
4.1.164	Was that mine? 
4.1.165	Yours, by this hand: and to see how he prizes the foolish woman your wife! she gave it him, and he hath given it his whore. 
4.1.166	I would have him nine years a- killing. A fine woman! a fair woman! a sweet woman! 
4.1.167	Nay, you must forget that. 
4.1.168	Ay, let her rot, and perish, and be damned to-night; for she shall not live: no, my heart is turned to stone; I strike it, and it hurts my hand. O, the world hath not a sweeter creature: she might lie by an emperor's side and command him tasks. 
4.1.169	Nay, that's not your way. 
4.1.170	Hang her! I do but say what she is: so delicate with her needle: an admirable musician: O! she will sing the savageness out of a bear: of so high and plenteous wit and invention: 
4.1.171	She's the worse for all this. 
4.1.172	O, a thousand thousand times: and then, of so gentle a condition! 
4.1.173	Ay, too gentle. 
4.1.174	Nay, that's certain: but yet the pity of it, Iago! O Iago, the pity of it, Iago! 
4.1.175	If you are so fond over her iniquity, give her patent to offend; for, if it touch not you, it comes near nobody. 
4.1.176	I will chop her into messes: cuckold me! 
4.1.177	O, 'tis foul in her. 
4.1.178	With mine officer! 
4.1.179	That's fouler. 
4.1.180	Get me some poison, Iago; this night: I'll not expostulate with her, lest her body and beauty unprovide my mind again: this night, Iago. 
4.1.181	Do it not with poison, strangle her in her bed, even the bed she hath contaminated. 
4.1.182	Good, good: the justice of it pleases: very good. 
4.1.183	And for Cassio, let me be his undertaker: you shall hear more by midnight. 
4.1.184	Excellent good. A trumpet within. 
4.1.185	What trumpet is that same? 
4.1.186	Something from Venice, sure. 'Tis Lodovico 
4.1.187	Come from the duke: and, see, your wife is with him. Enter LODOViCO, DESDEMONA, and Attendants. 
4.1.188	Save you, worthy general! 
4.1.189	With all my heart, sir, 
4.1.190	The duke and senators of Venice greet you. Gives him a letter. 
4.1.191	I kiss the instrument of their pleasures. Opens letter, and reads. 
4.1.192	And what's the news, good cousin Lodovico? 
4.1.193	I am very glad to see you, signior; 
4.1.194	Welcome to Cyprus. 
4.1.195	I thank you. How does Lieutenant Cassio? 
4.1.196	Lives, sir. 
4.1.197	Cousin, there's fall'n between him and my lord 
4.1.198	An unkind breach: but you shall make all well. 
4.1.199	Are you sure of that? 
4.1.200	My lord?
4.1.201	Reads
4.1.202	'This fail you not to do, as you will--' 
4.1.203	He did not call; he's busy in the paper. 
4.1.204	Is there division 'twixt my lord and Cassio? 
4.1.205	A most unhappy one: I would do much 
4.1.206	To atone them, for the love I bear Cassio. 
4.1.207	Fire and brimstone! 
4.1.208	My lord? 
4.1.209	Are you wise? 
4.1.210	What, is he angry? 
4.1.211	May be the letter moved him; 
4.1.212	For, as I think, they do command him home, 
4.1.213	Deputing Cassio in his government. 
4.1.214	Trust me, I am glad on't. 
4.1.215	Indeed! 
4.1.216	My lord? 
4.1.217	I am glad to see you mad. 
4.1.218	Why, sweet Othello,--
4.1.219	Striking her
4.1.220	Devil! 
4.1.221	I have not deserved this. 
4.1.222	My lord, this would not be believed in Venice, 
4.1.223	Though I should swear I saw't: 'tis very much: 
4.1.224	Make her amends; she weeps. 
4.1.225	O devil, devil! 
4.1.226	If that the earth could teem with woman's tears, 
4.1.227	Each drop she falls would prove a crocodile. 
4.1.228	Out of my sight! 
4.1.229	I will not stay to offend you. Going. 
4.1.230	Truly, an obedient lady: 
4.1.231	I do beseech your lordship, call her back. 
4.1.232	Mistress! 
4.1.233	My lord? 
4.1.234	What would you with her, sir? 
4.1.235	Who, I, my lord? 
4.1.236	Ay; you did wish that I would make her turn: 
4.1.237	Sir, she can turn, and turn, and yet go on, 
4.1.238	And turn again; and she can weep, sir, weep; 
4.1.239	And she's obedient, as you say, obedient, 
4.1.240	Very obedient. Proceed you in your tears. 
4.1.241	Concerning this, sir,--O well-painted passion!-- 
4.1.242	I am commanded home. Get you away; 
4.1.243	I'll send for you anon. Sir, I obey the mandate, 
4.1.244	And will return to Venice. Hence, avaunt! Exit Desdemona. 
4.1.245	Cassio shall have my place. And, sir, tonight, 
4.1.246	I do entreat that we may sup together: 
4.1.247	You are welcome, sir, to Cyprus.--Goats and monkeys! Exit. 
4.1.248	Is this the noble Moor whom our full senate 
4.1.249	Call all in all sufficient? Is this the nature 
4.1.250	Whom passion could not shake? whose solid virtue 
4.1.251	The shot of accident, nor dart of chance, 
4.1.252	Could neither graze nor pierce? 
4.1.253	He is much changed. 
4.1.254	Are his wits safe? is he not light of brain? 
4.1.255	He's that he is: I may not breathe my censure 
4.1.256	What he might be: if what he might he is not, 
4.1.257	I would to heaven he were! 
4.1.258	What, strike his wife! 
4.1.259	'Faith, that was not so well; yet would I knew 
4.1.260	That stroke would prove the worst! 
4.1.261	Is it his use? 
4.1.262	Or did the letters work upon his blood, 
4.1.263	And new-create this fault? 
4.1.264	Alas, alas! 
4.1.265	It is not honesty in me to speak 
4.1.266	What I have seen and known. You shall observe him, 
4.1.267	And his own courses will denote him so 
4.1.268	That I may save my speech: do but go after, 
4.1.269	And mark how he continues. 
4.1.270	I am sorry that I am deceived in him. Exeunt.
4.2.1	A room in the castle.
4.2.2	Enter OTHELLO and EMILIA. 
4.2.3	You have seen nothing then? 
4.2.4	Nor ever heard, nor ever did suspect. 
4.2.5	Yes, you have seen Cassio and she together. 
4.2.6	But then I saw no harm, and then I heard 
4.2.7	Each syllable that breath made up between them. 
4.2.8	What, did they never whisper? 
4.2.9	Never, my lord. 
4.2.10	Nor send you out o' the way? 
4.2.11	Never. 
4.2.12	To fetch her fan, her gloves, her mask, nor nothing? 
4.2.13	Never, my lord. 
4.2.14	That's strange. 
